,ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019
0,1,Argentina,AR,ARG,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,11.095,8.048,1.587,-0.01,4.845,-5.797,-13.369,-13.551,-20.511,-14.597,-21.005,,,,
1,2,Argentina,AR,ARG,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,141.179,153.437,166.893,179.929,167.849,183.055,198.549,203.188,205.328,203.334,216.033,,,,
2,3,Argentina,AR,ARG,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,39.183,40.226,39.506,41.645,35.266,34.34,34.414,30.523,26.565,27.168,21.294,,,,
3,4,Argentina,AR,ARG,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,11.042,7.987,1.533,-0.045,4.839,-5.804,-13.368,-13.542,-20.488,-14.589,-20.948,,,,
4,5,Argentina,AR,ARG,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,28.141,32.24,37.973,41.691,30.427,40.144,47.782,44.065,47.053,41.757,42.242,,,,
5,6,Argentina,AR,ARG,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,152.274,161.486,168.48,179.919,172.694,177.258,185.18,189.636,184.817,188.737,195.027,,,,
6,7,Australia,AU,AUS,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-36.324,-33.388,-44.242,-40.34,-25.994,-46.126,-51.811,-71.459,-52.615,-37.112,-33.913,,,,
7,8,Australia,AU,AUS,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,418.419,420.983,444.589,441.382,434.028,446.207,450.346,469.371,448.017,423.099,426.401,,,,
8,9,Australia,AU,AUS,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,83.349,98.534,99.035,114.077,105.528,108.995,120.918,107.405,115.636,121.436,110.405,121.408,126.395,127.971,136.977
9,10,Australia,AU,AUS,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-36.095,-33.178,-43.916,-40.098,-25.63,-45.762,-51.464,-71.068,-52.214,-36.771,-33.331,-21.129,-25.041,-29.203,-11.503
10,11,Australia,AU,AUS,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,119.443,131.713,142.951,154.175,131.159,154.758,172.382,178.472,167.85,158.207,143.736,142.537,151.436,157.174,148.48
11,12,Australia,AU,AUS,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,382.096,387.595,400.347,401.043,408.034,400.081,398.535,397.912,395.402,385.987,392.488,,,,
12,13,Austria,AT,AUT,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-19.986,-22.185,-22.76,-21.044,-22.457,-19.997,-22.031,-20.583,-19.955,-20.181,-19.179,,,,
13,14,Austria,AT,AUT,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,95.26,95.392,94.53,92.343,86.54,89.736,90.344,86.191,86.533,82.95,83.435,,,,
14,15,Austria,AT,AUT,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,45.055,49.11,51.818,52.956,40.094,52.375,55.445,52.791,51.277,49.46,46.772,48.34,51.791,57.168,51.976
15,16,Austria,AT,AUT,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-20.028,-22.207,-22.833,-21.137,-22.504,-20.089,-22.151,-20.693,-20.156,-20.407,-19.48,-9.671,-3.596,-7.684,-24.868
16,17,Austria,AT,AUT,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,65.083,71.316,74.651,74.092,62.598,72.464,77.595,73.484,71.434,69.867,66.252,58.011,55.387,64.852,76.844
17,18,Austria,AT,AUT,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,75.274,73.207,71.77,71.299,64.083,69.74,68.314,65.608,66.578,62.77,64.256,,,,
18,19,Belgium,BE,BEL,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-12.836,-11.883,-14.902,-19.478,-20.278,-13.068,-19.154,-15.641,-16.013,-17.217,-16.527,,,,
19,20,Belgium,BE,BEL,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,131.706,129.887,129.689,137.2,128.668,127.702,122.485,117.934,117.656,112.33,117.828,,,,
20,21,Belgium,BE,BEL,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,75.411,81.133,85.174,94.041,70.184,77.07,80.301,75.382,72.751,71.156,70.603,,,,
21,22,Belgium,BE,BEL,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,-12.419,-11.542,-14.555,-19.221,-19.831,-12.738,-18.875,-15.366,-15.638,-16.785,-15.943,,,,
22,23,Belgium,BE,BEL,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,87.83,92.674,99.729,113.261,90.015,89.808,99.175,90.748,88.389,87.941,86.547,,,,
23,24,Belgium,BE,BEL,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,118.87,118.005,114.788,117.722,108.39,114.634,103.331,102.293,101.642,95.113,101.301,,,,
24,25,Brazil,BR,BRA,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,8.325,-6.388,-23.135,-50.699,-45.88,-77.499,-85.933,-78.629,-81.93,-71.022,-14.23,,,,
25,26,Brazil,BR,BRA,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,312.82,330.87,363.675,410.889,385.398,458.99,486.293,510.588,542.574,555.957,475.385,,,,
26,27,Brazil,BR,BRA,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,84.541,83.466,81.835,86.27,64.443,73.39,82.055,87.427,89.595,90.696,103.911,94.624,108.843,123.298,129.117
27,28,Brazil,BR,BRA,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,8.772,-5.876,-22.494,-50.004,-44.954,-76.655,-84.902,-77.646,-80.71,-70.035,-13.256,-7.265,1.94,2.937,9.97499999999999
28,29,Brazil,BR,BRA,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,75.769,89.342,104.329,136.274,109.397,150.044,166.957,165.073,170.305,160.732,117.167,101.889,106.903,120.361,119.142
29,30,Brazil,BR,BRA,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,321.145,324.482,340.539,360.19,339.518,381.491,400.359,431.959,460.643,484.935,461.154,,,,
30,31,Brunei Darussalam,BN,BRN,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,1.073,1.844,1.236,2.215,1.894,2.13,2.021,1.499,0.797,1.844,0.32,,,,
31,32,Brunei Darussalam,BN,BRN,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,4.084,5.736,6.357,5.545,6.077,5.173,5.601,6.113,6.635,5.438,6.39,,,,
32,33,Brunei Darussalam,BN,BRN,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,2.673,3.787,3.135,4.133,3.846,4.18,4.953,5.035,4.852,4.188,2.435,2.491,2.486,2.953,3.073
33,34,Brunei Darussalam,BN,BRN,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,1.067,1.833,1.222,2.206,1.884,2.131,2.027,1.509,0.808,1.844,0.312,-0.376,-2.404,-8.699,-0.441
34,35,Brunei Darussalam,BN,BRN,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,1.605,1.954,1.913,1.928,1.962,2.048,2.926,3.526,4.044,2.344,2.124,2.867,4.89,11.652,3.514
35,36,Brunei Darussalam,BN,BRN,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,5.157,7.581,7.593,7.76,7.971,7.303,7.622,7.612,7.433,7.282,6.71,,,,
36,37,Bulgaria,BG,BGR,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,7.827,5.751,4.833,2.774,3.335,8.08,10.822,8.514,7.465,7.518,8.802,,,,
37,38,Bulgaria,BG,BGR,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,39.274,42.329,46.07,45.708,39.561,36.318,38.741,36.067,32.037,33.911,34.763,,,,
38,39,Bulgaria,BG,BGR,C02 Emissions Embodied in Gross Exports,ECBPDTCETX,Millions of metric tons,19.449,20.564,25.173,24.649,17.706,21.581,26.45,23.531,22.217,23.66,24.428,20.766,20.381,19.813,14.502
39,40,Bulgaria,BG,BGR,"C02 Emissions Embodied in Gross Exports, balance",ECBPDTCETB,Millions of metric tons,7.706,5.657,4.737,2.63,3.173,7.964,10.698,8.388,7.363,7.435,8.718,3.364,1.596,-1.824,-6.67
40,41,Bulgaria,BG,BGR,C02 Emissions Embodied in Gross Imports,ECBPDTCETM,Millions of metric tons,11.743,14.907,20.436,22.019,14.533,13.617,15.752,15.143,14.854,16.225,15.709,17.402,18.785,21.637,21.172
41,42,Bulgaria,BG,BGR,C02 Emissions Embodied in Production,ECBPDTCEVA,Millions of metric tons,47.101,48.08,50.903,48.482,42.896,44.399,49.564,44.581,39.502,41.429,43.564,,,,
42,43,Cambodia,KH,KHM,"C02 Emissions Embodied in Final Demand, balance",ECBPDTCEFDB,Millions of metric tons,-3.122,-3.255,-3.238,-2.967,-2.823,-2.815,-3.301,-3.386,-3.682,-4.003,-3.775,,,,
43,44,Cambodia,KH,KHM,C02 Emissions Embodied in Final Domestic Demand,ECBPDTCEFDD,Millions of metric tons,6.164,6.643,7.23,7.04,7.691,8.007,8.797,9.111,9.679,10.972,12.595,,,,
